(7283, -3366, 1152)
(2691, -27, -2281)
(7736, -1380, 4630)
(9424, -7175, 83)
(5392, -6069, -6179)
(4904, -75, 1327)
(11170, -6157, 4625)
(7444, -4640, -1350)
(9238, -5135, 1403)
(3551, 210, 2524)
(3656, 3024, 6194)
(4355, -1079, -813)
(9921, -6244, 5954)
(4157, -3720, -4966)
(11432, -9885, 693)
(11861, -8588, 3374)
(968, 5572, 4290)
(5734, -3291, 2027)
(8400, -2641, 4265)
(4608, -2821, -2987)
(4573, -2814, -2244)
(4571, 1034, 1880)
(9003, -4880, 6006)
(4492, 1543, 1557)
(8840, -1543, 6595)
(5100, -4359, -269)
(11389, -8941, 1017)
(3531, -1434, -3644)
(8434, -1158, 9404)
(5066, 290, 1312)
(9571, -4459, 6887)
(9406, -4015, 8723)
(9475, -4562, 2096)
